City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,bjelovar,45.8986,16.8489,277.7,90,100,2.16,HR,1675476245
148,saint-leu,-21.15,55.2833,297.63,81,34,2.91,RE,1675476246
149,carnarvon,-24.8667,113.6333,301.82,65,40,4.52,AU,1675476246
150,tirat karmel,32.7617,34.9719,284.61,79,100,8.5,IL,1675476247
151,mantua,45.1667,10.7833,280.73,94,25,0.89,IT,1675476249
152,pochutla,15.7432,-96.4661,299.16,79,4,1.3,MX,1675476250
153,nouadhibou,20.931,-17.0347,293.14,28,100,5.66,MR,1675476251
154,tapes,-30.6733,-51.3958,295.2,90,95,3.02,BR,1675476253
155,sorong,-0.8833,131.25,299.92,80,100,1.57,ID,1675476254
156,narsaq,60.9167,-46.05,261.27,75,8,3.11,GL,1675476255
157,nuuk,64.1835,-51.7216,263.08,78,100,7.6,GL,1675476256
158,tokmak,47.2514,35.7058,273.59,96,100,4.2,UA,1675476257
159,san lazaro,18.0387,-88.6622,295.59,84,46,2.15,BZ,1675476258
160,san jose del golfo,14.7628,-90.3764,291.89,88,23,0.52,GT,1675476259
161,ostersund,63.1792,14.6357,263.4,100,100,1.54,SE,1675476059
162,palauig,15.435,119.9045,301.38,58,59,0.5,PH,1675476261
163,rocha,-34.4833,-54.3333,291.52,86,12,3.75,UY,1675475966
164,tilichiki,60.4667,166.1,253.75,94,89,3.7,RU,1675476262
165,ginda,30.6945,78.4932,280.21,35,0,3.6,IN,1675476263
166,weyburn,49.6668,-103.8511,264.27,86,88,2.57,CA,1675476032
167,te anau,-45.4167,167.7167,301.6,44,23,2.87,NZ,1675476271
168,lata,40.1629,-8.3327,275.97,73,0,1.74,PT,1675476274
169,katubao,5.8892,124.8294,302.14,66,99,0.97,PH,1675476276
170,port elizabeth,-33.918,25.5701,295.31,92,40,5.14,ZA,1675476278
171,tolentino,43.2126,13.2901,282.26,81,100,3.62,IT,1675476284
172,terrace,54.5163,-128.6035,275.1,100,100,1.03,CA,1675476028
173,airai,-8.9266,125.4092,293.53,78,97,1.61,TL,1675476285
174,alamogordo,32.8995,-105.9603,282.84,33,20,3.6,US,1675476285
175,halifax,44.6453,-63.5724,255.49,70,95,6.71,CA,1675476000
176,reconquista,-29.15,-59.65,295.39,57,0,3.07,AR,1675476286
177,maraa,-1.8333,-65.3667,296.37,97,100,0.74,BR,1675476287
178,new norfolk,-42.7826,147.0587,288.55,74,100,0.45,AU,1675476288
179,san joaquin,37.9333,-121.3011,285.53,87,100,3.09,US,1675476288
180,brainerd,46.358,-94.2008,255.31,85,66,5.83,US,1675476069
181,asau,46.4333,26.4,269.66,91,100,1.58,RO,1675476290
182,saint george,37.1041,-113.5841,284.23,43,0,2.06,US,1675476291
